question_id,category,difficulty,expected_risk,student_background,question_text,model_name,answer_text,answer_length,accuracy,helpfulness,clarity,actionability,risk_control,overall_score,error_type,notes,weighted_score,quality_status,needs_review,review_priority,answer_id,rater_id
Q001,programming,easy,low,beginner,How should I start learning Python for data science?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How should I start learning Python for data science? — the best approach is to separate the goal from the next action. Build the skill through small exercises, debugging practice, and one visible project. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",90,5.0,4.5,4.5,5.0,5.0,4.8,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.77,pass,False,none,Q001__Balanced_GPT,R1
Q001,programming,easy,low,beginner,How should I start learning Python for data science?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How should I start learning Python for data science? — the best approach is to separate the goal from the next action. Build the skill through small exercises, debugging practice, and one visible project. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",90,5.0,5.0,4.5,5.0,5.0,4.9,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.77,pass,False,none,Q001__Balanced_GPT,R2
Q001,programming,easy,low,beginner,How should I start learning Python for data science?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How should I start learning Python for data science? — the best approach is to separate the goal from the next action. Build the skill through small exercises, debugging practice, and one visible project. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",90,4.5,4.5,5.0,4.5,5.0,4.7,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.77,pass,False,none,Q001__Balanced_GPT,R3
Q001,programming,easy,low,beginner,How should I start learning Python for data science?,Concise_Model,"Here is the short answer. Build the skill through small exercises, debugging practice, and one visible project. Start with one small task, finish it, and then decide the next step based on what you learned.",35,4.0,3.5,4.5,3.5,4.0,3.9,none,Concise_Model gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.16,pass,False,none,Q001__Concise_Model,R1
Q001,programming,easy,low,beginner,How should I start learning Python for data science?,Concise_Model,"Here is the short answer. Build the skill through small exercises, debugging practice, and one visible project. Start with one small task, finish it, and then decide the next step based on what you learned.",35,4.0,4.0,4.5,3.5,4.0,4.0,none,Concise_Model gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.16,pass,False,none,Q001__Concise_Model,R2
Q001,programming,easy,low,beginner,How should I start learning Python for data science?,Concise_Model,"Here is the short answer. Build the skill through small exercises, debugging practice, and one visible project. Start with one small task, finish it, and then decide the next step based on what you learned.",35,4.5,4.0,5.0,4.0,4.0,4.3,none,Concise_Model gives a usable answer with acceptable clarity and guardrails for a low-risk question.,4.16,pass,False,none,Q001__Concise_Model,R3
Q001,programming,easy,low,beginner,How should I start learning Python for data science?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Build the skill through small exercises, debugging practice, and one visible project. Do this immediately and do not spend too much time comparing alternatives.",42,4.0,4.0,4.0,4.0,3.0,3.8,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for low-risk advice.",3.9,review,True,P2,Q001__Overconfident_Model,R1
Q001,programming,easy,low,beginner,How should I start learning Python for data science?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Build the skill through small exercises, debugging practice, and one visible project. Do this immediately and do not spend too much time comparing alternatives.",42,4.0,4.0,4.0,4.0,3.0,3.8,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for low-risk advice.",3.9,review,True,P2,Q001__Overconfident_Model,R2
Q001,programming,easy,low,beginner,How should I start learning Python for data science?,Overconfident_Model,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Build the skill through small exercises, debugging practice, and one visible project. Do this immediately and do not spend too much time comparing alternatives.",42,4.0,3.5,4.5,4.0,3.0,3.8,overconfident,"Overconfident_Model needs stronger uncertainty language, official-source verification, and escalation for low-risk advice.",3.9,review,True,P2,Q001__Overconfident_Model,R3
Q002,statistics,medium,medium,undergraduate,I have one week before my statistics exam. How should I review?,Balanced_GPT,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — I have one week before my statistics exam. How should I review? — the best approach is to separate the goal from the next action. Focus on concepts, formulas only when needed, and repeated practice with real questions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",94,5.0,5.0,4.5,4.5,4.5,4.7,none,Balanced_GPT gives a usable answer with acceptable clarity and guardrails for a medium-risk question.,4.62,pass,False,none,Q002__Balanced_GPT,R1
