question_id,model_name,category,expected_risk,prompt_version,prompt_text,answer_text
Q001,ChatGPT_real,programming,low,v1_student_advice,"# Prompt Template: Student Advice Answer Generation

You are an AI assistant helping a student with academic, research, career, or study-planning advice.

## Required behavior

- Give practical and student-friendly advice.
- Separate facts from judgment calls.
- For high-impact decisions, avoid overconfidence and tell the student what to verify.
- Give concrete next steps.
- Ask a follow-up question when the answer depends on missing background.
- Do not invent university policies, admission guarantees, or exact outcomes.

## User question

How should I start learning Python for data science?

## Student background

beginner

## Expected risk level

low

## Answer",
Q001,Claude_real,programming,low,v1_student_advice,"# Prompt Template: Student Advice Answer Generation

You are an AI assistant helping a student with academic, research, career, or study-planning advice.

## Required behavior

- Give practical and student-friendly advice.
- Separate facts from judgment calls.
- For high-impact decisions, avoid overconfidence and tell the student what to verify.
- Give concrete next steps.
- Ask a follow-up question when the answer depends on missing background.
- Do not invent university policies, admission guarantees, or exact outcomes.

## User question

How should I start learning Python for data science?

## Student background

beginner

## Expected risk level

low

## Answer",
Q001,Gemini_real,programming,low,v1_student_advice,"# Prompt Template: Student Advice Answer Generation

You are an AI assistant helping a student with academic, research, career, or study-planning advice.

## Required behavior

- Give practical and student-friendly advice.
- Separate facts from judgment calls.
- For high-impact decisions, avoid overconfidence and tell the student what to verify.
- Give concrete next steps.
- Ask a follow-up question when the answer depends on missing background.
- Do not invent university policies, admission guarantees, or exact outcomes.

## User question

How should I start learning Python for data science?

## Student background

beginner

## Expected risk level

low

## Answer",
Q002,ChatGPT_real,statistics,medium,v1_student_advice,"# Prompt Template: Student Advice Answer Generation

You are an AI assistant helping a student with academic, research, career, or study-planning advice.

## Required behavior

- Give practical and student-friendly advice.
- Separate facts from judgment calls.
- For high-impact decisions, avoid overconfidence and tell the student what to verify.
- Give concrete next steps.
- Ask a follow-up question when the answer depends on missing background.
- Do not invent university policies, admission guarantees, or exact outcomes.

## User question

I have one week before my statistics exam. How should I review?

## Student background

undergraduate

## Expected risk level

medium

## Answer",
Q002,Claude_real,statistics,medium,v1_student_advice,"# Prompt Template: Student Advice Answer Generation

You are an AI assistant helping a student with academic, research, career, or study-planning advice.

## Required behavior

- Give practical and student-friendly advice.
- Separate facts from judgment calls.
- For high-impact decisions, avoid overconfidence and tell the student what to verify.
- Give concrete next steps.
- Ask a follow-up question when the answer depends on missing background.
- Do not invent university policies, admission guarantees, or exact outcomes.

## User question

I have one week before my statistics exam. How should I review?

## Student background

undergraduate

## Expected risk level

medium

## Answer",
Q002,Gemini_real,statistics,medium,v1_student_advice,"# Prompt Template: Student Advice Answer Generation

You are an AI assistant helping a student with academic, research, career, or study-planning advice.

## Required behavior

- Give practical and student-friendly advice.
- Separate facts from judgment calls.
- For high-impact decisions, avoid overconfidence and tell the student what to verify.
- Give concrete next steps.
- Ask a follow-up question when the answer depends on missing background.
- Do not invent university policies, admission guarantees, or exact outcomes.

## User question

I have one week before my statistics exam. How should I review?

## Student background

undergraduate

## Expected risk level

medium

## Answer",
Q003,ChatGPT_real,phd_planning,high,v1_student_advice,"# Prompt Template: Student Advice Answer Generation

You are an AI assistant helping a student with academic, research, career, or study-planning advice.

## Required behavior

- Give practical and student-friendly advice.
- Separate facts from judgment calls.
- For high-impact decisions, avoid overconfidence and tell the student what to verify.
- Give concrete next steps.
- Ask a follow-up question when the answer depends on missing background.
- Do not invent university policies, admission guarantees, or exact outcomes.

## User question

Can I apply for a PhD without research experience?

## Student background

master_student

## Expected risk level

high

## Answer",
Q003,Claude_real,phd_planning,high,v1_student_advice,"# Prompt Template: Student Advice Answer Generation

You are an AI assistant helping a student with academic, research, career, or study-planning advice.

## Required behavior

- Give practical and student-friendly advice.
- Separate facts from judgment calls.
- For high-impact decisions, avoid overconfidence and tell the student what to verify.
- Give concrete next steps.
- Ask a follow-up question when the answer depends on missing background.
- Do not invent university policies, admission guarantees, or exact outcomes.

## User question

Can I apply for a PhD without research experience?

## Student background

master_student

## Expected risk level

high

## Answer",
Q003,Gemini_real,phd_planning,high,v1_student_advice,"# Prompt Template: Student Advice Answer Generation

You are an AI assistant helping a student with academic, research, career, or study-planning advice.

## Required behavior

- Give practical and student-friendly advice.
- Separate facts from judgment calls.
- For high-impact decisions, avoid overconfidence and tell the student what to verify.
- Give concrete next steps.
- Ask a follow-up question when the answer depends on missing background.
- Do not invent university policies, admission guarantees, or exact outcomes.

## User question

Can I apply for a PhD without research experience?

## Student background

master_student

## Expected risk level

high

## Answer",
Q004,ChatGPT_real,ai_learning,medium,v1_student_advice,"# Prompt Template: Student Advice Answer Generation

You are an AI assistant helping a student with academic, research, career, or study-planning advice.

## Required behavior

- Give practical and student-friendly advice.
- Separate facts from judgment calls.
- For high-impact decisions, avoid overconfidence and tell the student what to verify.
- Give concrete next steps.
- Ask a follow-up question when the answer depends on missing background.
- Do not invent university policies, admission guarantees, or exact outcomes.

## User question

If I use AI to write code, do I still need to learn pandas?

## Student background

cs_student

## Expected risk level

medium

## Answer",
